image,pure_inference_ms,end_to_end_ms,cpu_percent,memory_mb,num_detections,avg_confidence,model_size_mb
000091.jpg,9.067,16.167,1291.3,116.73,236,0.505,5.406
000064.jpg,8.081,15.41,831.2,127.48,253,0.5041,5.406
000422.jpg,6.849,13.01,780.3,127.98,198,0.5069,5.406
000025.jpg,6.788,14.073,751.8,127.98,255,0.5044,5.406
000410.jpg,6.918,13.769,805.4,127.98,233,0.5049,5.406
000442.jpg,6.724,14.217,821.7,127.98,263,0.5036,5.406
000009.jpg,6.761,14.037,799.0,127.98,246,0.5044,5.406
000449.jpg,5.252,11.254,786.1,127.98,294,0.5075,5.406
000008.jpg,5.436,11.096,807.6,127.98,278,0.5039,5.406
000429.jpg,5.214,10.535,779.3,127.98,248,0.5048,5.406

avg_pure_inference_ms,6.709
avg_end_to_end_ms,13.357
fps,74.87
